UNIX,Hour,Minute,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17
1630629601,0,40,19.12,33.69,34.25,12.69,33.81,28.56,34.44,34.38,14.38,26.87,31.00,34.00,35.06,31.62,35.19,35.25,34.00
1630629699,0,41,18.94,34.13,34.31,12.63,33.69,28.69,34.44,34.38,14.38,26.87,31.50,34.13,35.06,31.56,35.13,35.13,34.06
1630629757,0,42,19.00,33.75,33.81,12.63,33.63,28.62,34.38,34.38,14.31,26.87,31.50,34.25,35.06,31.31,35.13,34.94,34.06
1630629815,0,43,18.94,34.63,33.75,12.69,33.63,28.69,34.38,34.50,14.31,27.00,31.50,34.31,34.88,31.50,35.19,35.06,34.13
1630629872,0,44,18.87,33.50,33.75,12.69,33.81,28.75,34.19,34.50,14.31,27.00,31.50,34.19,35.00,31.56,35.19,35.13,34.19
1630629930,0,45,18.81,34.31,33.50,12.69,33.88,28.81,34.31,34.50,14.25,27.00,31.50,34.13,34.94,31.62,35.25,35.13,34.19
1630629988,0,46,18.81,34.44,33.31,12.69,33.94,28.81,34.31,34.56,14.25,27.00,31.50,34.19,34.88,31.56,35.19,35.19,34.13
1630630046,0,47,18.87,34.63,33.88,12.75,33.94,28.87,34.56,34.56,14.25,27.00,31.50,34.13,34.88,31.69,35.13,35.13,34.06
1630630104,0,48,18.94,34.44,34.19,12.75,33.94,28.94,34.56,34.63,14.25,27.06,31.50,34.06,34.94,31.62,35.06,35.19,34.06
1630630161,0,49,18.87,34.38,34.13,12.75,33.94,29.12,34.56,34.69,14.25,27.06,31.50,34.13,34.88,31.37,35.19,35.13,34.00
1630630219,0,50,18.87,34.75,33.81,12.69,34.00,29.06,34.50,34.75,14.25,27.00,31.50,34.13,34.94,31.31,35.19,35.25,34.00
1630630277,0,51,18.87,34.63,34.00,12.63,34.00,29.12,34.44,34.63,14.25,26.94,31.50,34.13,34.94,31.37,35.13,35.31,34.00
1630630335,0,52,18.87,34.94,33.69,12.63,34.00,29.12,34.44,34.69,14.25,26.87,31.50,34.06,35.00,31.25,35.13,35.31,33.94
1630630393,0,53,18.75,34.81,33.69,12.56,34.06,29.12,34.38,34.69,14.25,26.87,31.50,34.19,35.00,31.25,35.19,35.38,33.94
1630630451,0,54,18.75,34.81,33.88,12.63,34.06,29.19,34.44,34.69,14.25,26.87,31.50,33.94,35.00,31.44,35.19,35.38,34.00
1630630508,0,55,18.75,34.69,34.00,12.63,34.06,29.12,34.44,34.69,14.25,26.87,31.50,33.81,34.94,31.37,35.25,35.31,34.06
1630630566,0,56,18.75,34.88,34.19,12.63,34.06,29.00,34.31,34.75,14.25,26.81,31.50,33.88,34.94,31.37,35.19,35.38,34.13
1630630624,0,57,18.75,34.63,34.63,12.63,34.06,28.94,34.44,34.69,14.25,26.75,31.50,33.75,35.00,31.31,35.19,35.38,34.13
1630630682,0,58,18.69,34.75,34.50,12.63,34.06,29.12,34.44,34.75,14.25,26.81,31.50,33.81,34.81,31.50,35.19,35.38,34.13
1630630740,0,59,18.62,34.69,34.75,12.63,34.00,29.06,34.44,34.81,14.19,26.81,31.00,33.88,34.88,31.62,35.19,35.31,34.00
1630630837,1,0,18.56,34.75,34.69,12.56,34.06,29.06,34.38,34.81,14.13,26.81,31.00,33.94,35.00,31.44,35.13,35.44,34.06
1630630895,1,1,18.56,34.38,34.81,12.56,34.00,29.06,34.31,34.81,14.06,26.81,31.50,33.94,35.06,31.25,35.06,35.50,34.13
1630630953,1,2,18.50,34.19,34.69,12.50,34.06,29.12,34.31,34.81,14.06,26.87,31.50,33.88,35.13,31.37,35.13,35.38,34.13
1630631011,1,3,18.56,33.94,34.75,12.50,34.06,29.06,34.44,34.81,14.00,26.75,31.50,33.94,35.13,31.50,35.13,35.25,34.19
1630631069,1,4,18.56,34.25,34.63,12.50,34.00,28.94,34.31,34.94,14.00,26.75,31.50,34.06,35.13,31.50,35.19,35.31,34.13
1630631127,1,5,18.50,34.44,34.75,12.50,33.94,28.81,34.31,34.94,14.00,26.75,31.50,34.00,35.00,31.31,35.19,35.38,34.13
1630631184,1,6,18.50,34.38,34.63,12.50,34.00,28.81,34.31,34.81,14.00,26.69,31.50,34.06,34.94,31.44,35.19,35.44,34.13
1630631242,1,7,18.44,34.63,34.63,12.50,34.00,28.81,34.31,34.81,14.00,26.75,31.50,34.06,35.06,31.44,35.25,35.38,34.19
1630631300,1,8,18.50,34.63,34.50,12.50,34.06,28.75,34.19,34.75,14.00,26.69,31.50,34.13,35.13,31.44,35.19,35.19,34.19
1630631358,1,9,18.44,34.63,34.38,12.50,34.06,28.81,34.31,34.63,14.00,26.75,31.50,34.06,35.13,31.44,35.19,35.19,34.19
1630631416,1,10,18.44,34.69,34.63,12.50,34.06,28.81,34.31,34.69,14.00,26.69,31.50,34.13,35.06,31.56,35.25,35.19,34.13
1630631473,1,11,18.44,34.31,34.00,12.50,34.00,28.94,34.31,34.69,14.00,26.75,31.00,34.13,35.06,31.31,35.19,35.19,34.13
1630631531,1,12,18.44,34.38,34.56,12.50,33.94,28.94,34.25,34.69,14.00,26.75,31.00,33.94,35.00,31.19,35.19,35.25,34.06
1630631589,1,13,18.37,34.31,34.50,12.50,33.94,28.87,34.38,34.69,14.00,26.69,31.00,33.94,34.94,31.44,35.19,35.31,34.00
1630631647,1,14,18.31,34.25,34.56,12.44,33.94,28.87,34.31,34.50,13.94,26.75,31.00,34.00,34.81,31.31,35.19,35.25,34.00
1630631705,1,15,18.37,34.19,34.63,12.44,33.94,28.94,34.38,34.06,13.88,26.69,31.00,33.94,34.88,31.37,35.19,35.38,34.06
1630631763,1,16,18.31,34.50,34.56,12.38,33.94,28.94,34.19,33.69,13.88,26.62,31.00,33.88,34.88,31.37,35.25,35.38,34.06
1630631820,1,17,18.31,34.63,34.38,12.44,33.94,28.87,34.38,33.94,13.81,26.56,31.00,33.69,34.75,31.62,35.19,35.31,34.00
1630631918,1,18,18.37,34.69,34.25,12.44,33.94,28.87,34.38,34.38,13.81,26.50,31.00,33.88,34.75,31.44,35.13,35.31,34.06
1630631976,1,19,18.31,34.56,34.38,12.50,33.94,28.87,34.44,34.13,13.81,26.56,31.00,33.94,34.81,31.19,35.19,35.38,34.13
1630632034,1,20,18.31,34.69,34.19,12.50,33.88,28.94,34.44,34.06,13.75,26.56,31.00,33.81,34.88,31.12,35.06,35.44,34.06
1630632092,1,21,18.31,34.69,34.06,12.50,33.81,29.00,34.38,33.38,13.75,26.62,31.50,33.69,34.94,31.12,35.06,35.31,34.00
1630632149,1,22,18.25,34.69,34.19,12.44,33.88,28.94,34.38,34.38,13.75,26.56,31.50,33.81,34.75,31.25,35.06,35.13,34.00
1630632207,1,23,18.31,34.63,34.38,12.44,33.81,28.87,34.44,34.69,13.75,26.50,31.50,33.88,34.75,31.50,35.06,35.25,34.06
1630632265,1,24,18.25,34.56,34.44,12.44,33.88,28.81,34.38,34.75,13.75,26.37,31.50,33.94,34.81,31.62,35.13,35.31,34.00
1630632323,1,25,18.31,34.69,34.38,12.44,33.94,28.75,34.38,34.69,13.69,26.37,31.50,33.94,34.75,31.56,35.13,35.25,34.00
1630632381,1,26,18.31,34.63,34.44,12.44,33.81,28.75,34.31,34.63,13.69,26.50,31.50,33.94,34.75,31.19,35.13,35.19,34.00
1630632439,1,27,18.37,34.56,34.31,12.44,33.88,28.69,34.25,34.63,13.69,26.44,31.50,33.81,34.81,30.94,35.19,35.25,34.06
1630632496,1,28,18.37,34.63,34.31,12.44,33.88,28.69,34.25,34.69,13.63,26.44,31.50,33.75,34.75,31.19,35.19,35.19,34.06
1630632554,1,29,18.37,34.75,34.31,12.44,33.88,28.69,34.25,34.44,13.63,26.44,31.50,33.81,34.81,31.31,35.13,35.19,34.06
1630632612,1,30,18.31,34.56,34.25,12.44,33.94,28.69,34.31,34.06,13.63,26.50,31.50,33.75,34.81,31.37,35.19,35.13,34.06
1630632670,1,31,18.31,34.75,34.25,12.44,34.00,28.69,34.31,34.25,13.63,26.44,31.50,33.69,34.88,31.31,35.19,35.06,34.00
