UNIX,Hour,Minute,TVOC,eCO2,H2,ETH,Temp,Humid
1598480722,22,25,0,400,14602,19461,19.64,56.93
1598481001,22,30,0,400,14615,19485,18.99,57.46
1598481320,22,35,0,400,14627,19500,18.44,57.95
1598481639,22,40,0,400,14642,19502,18.27,57.81
1598481918,22,45,0,400,14621,19472,18.09,58.62
1598482236,22,50,0,400,14642,19483,17.87,58.82
1598482515,22,55,0,400,14620,19485,17.76,58.78
1598482834,23,0,0,400,14631,19474,17.63,59.42
1598483113,23,5,0,400,14620,19473,17.75,59.15
1598483432,23,10,0,400,14649,19503,17.79,58.66
1598483711,23,15,0,400,14658,19501,17.82,58.39
1598484030,23,20,0,400,14350,19330,17.63,58.38
1598484309,23,25,0,400,14230,19250,17.55,57.98
1598484628,23,30,0,470,14167,19178,17.42,58.78
1598484907,23,35,0,400,14247,19235,17.29,59.05
1598485226,23,40,0,400,14298,19286,17.24,59.22
1598485505,23,45,0,400,14352,19317,17.32,58.72
1598485824,23,50,0,400,14437,19392,17.35,58.30
1598486103,23,55,0,400,14499,19468,17.35,57.84
